Project Name,Project ID,Role Name,Role Description,Hourly Rate,Required Skills,Preferred Skills,Tools,Availability Date,Time Zone,Working Hours,Minimum Available Hours per Week,Location,industry,Years of Experience,Language,Overlap Time
and Sons,48682,Management Consultant,"This role at PLC involves Management Consultant-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Brand Strategy, API Design skills and expertise. The role requires 7 years of experience.",19,"Brand Strategy, API Design","Android, Brand Strategy","Preview, Mailgun, Lusha",2023-09-02,GMT+11,09:00 - 18:30,22,"Northern Territory, Australia; Western Australia, Australia; Northern Territory, Australia; Western Australia, Australia; Victoria, Australia",Finance,7,Afrikaans,6
and Sons,48682,CX / Business Designer,"This role at PLC involves CX / Business Designer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Brand Strategy, Ada skills and expertise. The role requires 6 years of experience.",43,"3D Engineering, Brand Strategy, Ada","Backlog Prioritization, 3D Engineering, Brand Strategy","GIMP, WooCommerce, Autodesk",2023-09-11,GMT+10,10:30 - 18:00,21,"Australian Capital Territory, Australia; Western Australia, Australia; South Australia, Australia; Queensland, Australia; Northern Territory, Australia",IT,6,Afrikaans,4
and Sons,48682,Management Consultant,"This role at Ltd involves Management Consultant-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Backlog Prioritization, Fundraising skills and expertise. The role requires 4 years of experience.",29,"Android, Backlog Prioritization, Fundraising, Ada","Android, Fundraising, Ada","Microsoft Word, Pro Writing Aid, blogger",2023-09-11,GMT+10,10:00 - 18:30,25,"New South Wales, Australia; Northern Territory, Australia; Queensland, Australia; South Australia, Australia; Australian Capital Territory, Australia",IT,4,Afrikaans,4
and Sons,48682,QA Engineer,"This role at Inc involves QA Engineer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Backlog Prioritization, Fundraising skills and expertise. The role requires 6 years of experience.",62,"Android, Backlog Prioritization, Fundraising, Ada","Android, Fundraising, API Design","Canva, ExpressJS, ATS",2023-09-09,GMT+10,09:30 - 18:00,24,"Victoria, Australia; Tasmania, Australia; Australian Capital Territory, Australia; Western Australia, Australia; New South Wales, Australia",Finance,6,Afrikaans,5
LLC,97963,Business Development Manager,"This role at and Sons involves Business Development Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, 3D Engineering, Brand Strategy skills and expertise. The role requires 8 years of experience.",24,"Android, 3D Engineering, Brand Strategy, API Design","Fundraising, Brand Strategy","Clip Studio Paint, Django REST framework, PyTorch",2023-09-10,GMT+10,10:00 - 18:00,26,"Victoria, Australia; Tasmania, Australia; South Australia, Australia; South Australia, Australia; Queensland, Australia",Engineering,8,Arabic,4
LLC,97963,People & Culture Manager,"This role at Inc involves People & Culture Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Fundraising, Backlog Prioritization, Brand Strategy skills and expertise. The role requires 5 years of experience.",15,"Fundraising, Backlog Prioritization, Brand Strategy, API Design","Fundraising, Brand Strategy, Ada","Yoast, Notepad++, DigitalOcean",2023-09-01,GMT+10,10:00 - 17:00,24,"Australian Capital Territory, Australia; Queensland, Australia; South Australia, Australia; Queensland, Australia; Victoria, Australia",Education,5,Arabic,5
LLC,97963,Community Manager,"This role at LLC involves Community Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Fundraising, Brand Strategy, API Design skills and expertise. The role requires 6 years of experience.",94,"Fundraising, Brand Strategy, API Design","Backlog Prioritization, Fundraising, Ada","Truffle, ExpressJS, Autodesk Sketchbook",2023-09-04,GMT+11,10:30 - 16:30,30,"Victoria, Australia; Western Australia, Australia; Northern Territory, Australia; Queensland, Australia; New South Wales, Australia",Healthcare,6,Arabic,5
LLC,97963,Motion Graphic Designer,"This role at and Sons involves Motion Graphic Designer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Brand Strategy, Ada skills and expertise. The role requires 9 years of experience.",58,"3D Engineering, Brand Strategy, Ada","Backlog Prioritization, 3D Engineering, API Design","Google Charts, Smartsheet, Azure SQL Database",2023-09-05,GMT+11,08:30 - 16:00,23,"New South Wales, Australia; Northern Territory, Australia; Northern Territory, Australia; Victoria, Australia; Queensland, Australia",Healthcare,9,Arabic,5
and Sons,13844,Cloud Expert,"This role at LLC involves Cloud Expert-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Fundraising, API Design skills and expertise. The role requires 7 years of experience.",11,"3D Engineering, Fundraising, API Design, Brand Strategy","Android, Fundraising, Brand Strategy","Evernote, Dragonframe, Emscripten",2023-09-07,GMT+10,08:00 - 18:30,22,"Western Australia, Australia; Northern Territory, Australia; Western Australia, Australia; Australian Capital Territory, Australia; Western Australia, Australia",Finance,7,Afrikaans,4
and Sons,13844,Product Owner,"This role at Ltd involves Product Owner-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Brand Strategy, API Design, Ada skills and expertise. The role requires 2 years of experience.",23,"Brand Strategy, API Design, Ada","Fundraising, Brand Strategy, API Design","Redux, ASP.NET Core, Angular Material",2023-09-08,GMT+10,10:30 - 18:30,20,"Western Australia, Australia; Victoria, Australia; Queensland, Australia; Northern Territory, Australia; New South Wales, Australia",Finance,2,Afrikaans,6
and Sons,13844,Business Development Manager,"This role at Group involves Business Development Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Backlog Prioritization, Brand Strategy, Ada skills and expertise. The role requires 7 years of experience.",89,"Backlog Prioritization, Brand Strategy, Ada","3D Engineering, Fundraising, Brand Strategy","Looker, Descript, OpenCV",2023-09-07,GMT+11,08:30 - 16:30,22,"Western Australia, Australia; New South Wales, Australia; South Australia, Australia; Queensland, Australia; Australian Capital Territory, Australia",Healthcare,7,Afrikaans,5
and Sons,13844,Cloud Architect,"This role at PLC involves Cloud Architect-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Backlog Prioritization, Brand Strategy skills and expertise. The role requires 10 years of experience.",24,"3D Engineering, Backlog Prioritization, Brand Strategy, API Design","3D Engineering, Fundraising, Ada","Toon Boom Harmony, Magento, Postman",2023-09-05,GMT+10,08:30 - 16:30,29,"Western Australia, Australia; Victoria, Australia; Queensland, Australia; Western Australia, Australia; Tasmania, Australia",Finance,10,Afrikaans,5
Ltd,71893,Networking/Infrastructure Engineer,"This role at LLC involves Networking/Infrastructure Engineer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Fundraising, API Design skills and expertise. The role requires 8 years of experience.",60,"3D Engineering, Fundraising, API Design, Ada","Android, Fundraising, Ada","CRM, Spotify, Substack",2023-09-06,GMT+11,09:00 - 17:30,28,"Western Australia, Australia; Queensland, Australia; Northern Territory, Australia; Queensland, Australia; New South Wales, Australia",IT,8,Afrikaans,4
Ltd,71893,Brand Expert,"This role at PLC involves Brand Expert-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Backlog Prioritization, Fundraising, API Design skills and expertise. The role requires 8 years of experience.",48,"Backlog Prioritization, Fundraising, API Design, Ada","3D Engineering, Brand Strategy, API Design","Anchor, Azure, ATS",2023-09-03,GMT+11,09:30 - 17:30,27,"Queensland, Australia; South Australia, Australia; Queensland, Australia; Australian Capital Territory, Australia; New South Wales, Australia",Marketing,8,Afrikaans,6
Ltd,71893,Online Marketing Expert,"This role at Inc involves Online Marketing Expert-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Backlog Prioritization, Fundraising, Brand Strategy skills and expertise. The role requires 8 years of experience.",42,"Backlog Prioritization, Fundraising, Brand Strategy","Backlog Prioritization, 3D Engineering, Fundraising","Fusion 360, Google ML Engine, Dragonframe",2023-09-08,GMT+11,10:30 - 18:00,24,"Queensland, Australia; New South Wales, Australia; South Australia, Australia; Northern Territory, Australia; Tasmania, Australia",Marketing,8,Afrikaans,6
Ltd,71893,Content Editor,"This role at and Sons involves Content Editor-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Brand Strategy, API Design skills and expertise. The role requires 10 years of experience.",57,"Android, Brand Strategy, API Design","Fundraising, 3D Engineering, Brand Strategy","Google Search Console, Cinema 4D, Load Impact",2023-09-09,GMT+11,10:00 - 17:00,24,"South Australia, Australia; Western Australia, Australia; Victoria, Australia; South Australia, Australia; Western Australia, Australia",Engineering,10,Afrikaans,6
Inc,85932,Service/Business Designer,"This role at PLC involves Service/Business Designer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Fundraising, API Design skills and expertise. The role requires 3 years of experience.",87,"3D Engineering, Fundraising, API Design","Android, API Design","Abstract, Gravit, OpenGL",2023-09-06,GMT+10,10:00 - 17:00,22,"Victoria, Australia; Queensland, Australia; Queensland, Australia; Victoria, Australia; Tasmania, Australia",Engineering,3,Arabic,5
Inc,85932,Management Consultant,"This role at Group involves Management Consultant-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Fundraising, Brand Strategy skills and expertise. The role requires 10 years of experience.",70,"Android, Fundraising, Brand Strategy","Brand Strategy, Ada","Dragonframe, Fusion 360, SAP",2023-09-01,GMT+11,09:30 - 16:00,20,"Northern Territory, Australia; Australian Capital Territory, Australia; South Australia, Australia; Victoria, Australia; Western Australia, Australia",IT,10,Arabic,4
Inc,85932,User Acquisition Manager,"This role at LLC involves User Acquisition Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Backlog Prioritization, 3D Engineering, Fundraising skills and expertise. The role requires 4 years of experience.",14,"Backlog Prioritization, 3D Engineering, Fundraising, API Design","Brand Strategy, API Design, Ada","Linux, GraphQL, Strapi",2023-09-03,GMT+10,09:00 - 17:00,21,"South Australia, Australia; Northern Territory, Australia; South Australia, Australia; South Australia, Australia; Queensland, Australia",Engineering,4,Arabic,4
Inc,85932,Software Architect,"This role at Ltd involves Software Architect-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Backlog Prioritization, Fundraising skills and expertise. The role requires 1 years of experience.",77,"Android, Backlog Prioritization, Fundraising, Brand Strategy","Backlog Prioritization, API Design, Ada","OpenCV, Pixlr, Tilda",2023-09-02,GMT+11,10:00 - 17:00,21,"New South Wales, Australia; Northern Territory, Australia; Queensland, Australia; Australian Capital Territory, Australia; South Australia, Australia",IT,1,Arabic,6
Ltd,60137,Technical Project Manager,"This role at LLC involves Technical Project Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Backlog Prioritization, Brand Strategy skills and expertise. The role requires 10 years of experience.",27,"3D Engineering, Backlog Prioritization, Brand Strategy","Android, Backlog Prioritization, API Design","Linux, Jupyter, Adobe Illustrator",2023-09-08,GMT+10,08:00 - 17:30,29,"South Australia, Australia; Northern Territory, Australia; Australian Capital Territory, Australia; Western Australia, Australia; Tasmania, Australia",Engineering,10,Amharic,6
Ltd,60137,Crypto / Web 3.0 Engineer,"This role at LLC involves Crypto / Web 3.0 Engineer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Backlog Prioritization, Fundraising skills and expertise. The role requires 3 years of experience.",88,"3D Engineering, Backlog Prioritization, Fundraising, API Design","Fundraising, API Design, Brand Strategy","R, DigitalOcean App Platform, Khoros",2023-09-05,GMT+11,09:00 - 18:30,23,"Australian Capital Territory, Australia; Queensland, Australia; Australian Capital Territory, Australia; Western Australia, Australia; New South Wales, Australia",Finance,3,Amharic,6
Ltd,60137,Scrum Master,"This role at LLC involves Scrum Master-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Backlog Prioritization, Fundraising, API Design skills and expertise. The role requires 5 years of experience.",29,"Backlog Prioritization, Fundraising, API Design, Ada","Fundraising, Brand Strategy","Google Docs, Adobe Illustrator, Testrail",2023-09-04,GMT+10,08:30 - 17:00,30,"Northern Territory, Australia; Northern Territory, Australia; New South Wales, Australia; New South Wales, Australia; Australian Capital Territory, Australia",IT,5,Amharic,6
Ltd,60137,Data Architect,"This role at Inc involves Data Architect-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, 3D Engineering, Backlog Prioritization skills and expertise. The role requires 1 years of experience.",53,"Android, 3D Engineering, Backlog Prioritization, API Design","Backlog Prioritization, Fundraising, Brand Strategy","AWS, DASH, Adobe Media Encoder",2023-09-08,GMT+11,09:30 - 17:00,20,"Northern Territory, Australia; South Australia, Australia; Northern Territory, Australia; Victoria, Australia; Australian Capital Territory, Australia",Engineering,1,Amharic,4
Inc,75262,Strategy Consultant,"This role at Inc involves Strategy Consultant-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Backlog Prioritization, Brand Strategy skills and expertise. The role requires 5 years of experience.",39,"3D Engineering, Backlog Prioritization, Brand Strategy, API Design","Fundraising, Brand Strategy","TikTok Ads, monday.com, Localytics",2023-09-06,GMT+10,10:00 - 16:30,28,"Northern Territory, Australia; Western Australia, Australia; Northern Territory, Australia; Queensland, Australia; Western Australia, Australia",Healthcare,5,Afrikaans,4
Inc,75262,Data Engineer,"This role at Inc involves Data Engineer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Fundraising, 3D Engineering, Brand Strategy skills and expertise. The role requires 3 years of experience.",42,"Fundraising, 3D Engineering, Brand Strategy, API Design","Android, Fundraising, Brand Strategy","Unity, Firebase, Maze",2023-09-11,GMT+11,08:30 - 16:00,30,"Victoria, Australia; New South Wales, Australia; Western Australia, Australia; Victoria, Australia; Australian Capital Territory, Australia",Education,3,Afrikaans,4
Inc,75262,Motion Graphic Designer,"This role at Group involves Motion Graphic Designer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Fundraising, Brand Strategy skills and expertise. The role requires 4 years of experience.",70,"Android, Fundraising, Brand Strategy, Ada","Android, Fundraising, Ada","Django, Sublime Text, axios",2023-09-05,GMT+11,09:30 - 16:30,30,"Queensland, Australia; Australian Capital Territory, Australia; Northern Territory, Australia; Northern Territory, Australia; Queensland, Australia",Finance,4,Afrikaans,4
Inc,75262,Technical Project Manager,"This role at Ltd involves Technical Project Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Backlog Prioritization, Brand Strategy skills and expertise. The role requires 10 years of experience.",25,"Android, Backlog Prioritization, Brand Strategy, Ada","3D Engineering, Brand Strategy","Sonatype Nexus, Material-UI, Magento",2023-09-08,GMT+10,08:00 - 17:00,25,"Northern Territory, Australia; Northern Territory, Australia; South Australia, Australia; Western Australia, Australia; South Australia, Australia",Healthcare,10,Afrikaans,6
Group,90991,Service/Business Designer,"This role at and Sons involves Service/Business Designer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Fundraising, Brand Strategy skills and expertise. The role requires 6 years of experience.",20,"3D Engineering, Fundraising, Brand Strategy, Ada","Fundraising, API Design, Ada","Postman, ZapWorks, ExpressJS",2023-09-11,GMT+10,09:30 - 18:30,20,"South Australia, Australia; Australian Capital Territory, Australia; Australian Capital Territory, Australia; Australian Capital Territory, Australia; Western Australia, Australia",Education,6,Afrikaans,4
Group,90991,Chief of Staff,"This role at Ltd involves Chief of Staff-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Fundraising, API Design skills and expertise. The role requires 5 years of experience.",63,"3D Engineering, Fundraising, API Design, Brand Strategy","Backlog Prioritization, Fundraising, API Design","Emscripten, Tally, Ruby",2023-09-12,GMT+11,10:00 - 18:00,24,"Western Australia, Australia; Queensland, Australia; New South Wales, Australia; Western Australia, Australia; Queensland, Australia",Finance,5,Afrikaans,5
Group,90991,Scrum Master,"This role at Ltd involves Scrum Master-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Backlog Prioritization, Fundraising skills and expertise. The role requires 6 years of experience.",53,"Android, Backlog Prioritization, Fundraising","Android, Fundraising, Brand Strategy","D3.js, Ionic React, LucidCharts",2023-09-02,GMT+11,08:30 - 18:30,23,"Northern Territory, Australia; Western Australia, Australia; Tasmania, Australia; Northern Territory, Australia; South Australia, Australia",Education,6,Afrikaans,5
Group,90991,Risk & Compliance Consultant,"This role at LLC involves Risk & Compliance Consultant-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Fundraising, Brand Strategy skills and expertise. The role requires 10 years of experience.",54,"Android, Fundraising, Brand Strategy","Android, Brand Strategy, API Design","SQLite, Backbone.js, TikTok",2023-09-09,GMT+11,09:00 - 18:00,21,"New South Wales, Australia; Northern Territory, Australia; South Australia, Australia; New South Wales, Australia; Western Australia, Australia",Education,10,Afrikaans,5
Ltd,82785,Project Manager,"This role at PLC involves Project Manager-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Fundraising, API Design, Brand Strategy skills and expertise. The role requires 5 years of experience.",15,"Fundraising, API Design, Brand Strategy","Backlog Prioritization, 3D Engineering, Fundraising","Zoho, Laravel, GraphiQL",2023-09-02,GMT+10,10:00 - 17:30,21,"New South Wales, Australia; Tasmania, Australia; Queensland, Australia; South Australia, Australia; Victoria, Australia",Finance,5,Afrikaans,6
Ltd,82785,HR Officer,"This role at Inc involves HR Officer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Fundraising, Brand Strategy, API Design skills and expertise. The role requires 6 years of experience.",42,"Fundraising, Brand Strategy, API Design, Ada","Fundraising, API Design","Snov.io, Buffer, MariaDB",2023-09-09,GMT+11,10:00 - 17:00,29,"Western Australia, Australia; Australian Capital Territory, Australia; Queensland, Australia; South Australia, Australia; South Australia, Australia",Marketing,6,Afrikaans,6
Ltd,82785,CX / Business Designer,"This role at and Sons involves CX / Business Designer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Backlog Prioritization, Brand Strategy skills and expertise. The role requires 3 years of experience.",82,"3D Engineering, Backlog Prioritization, Brand Strategy, Ada","Backlog Prioritization, Brand Strategy, Ada","Trello, WooCommerce, Joomla",2023-09-02,GMT+11,09:00 - 18:30,24,"Queensland, Australia; South Australia, Australia; New South Wales, Australia; Queensland, Australia; Tasmania, Australia",Education,3,Afrikaans,5
Ltd,82785,Security Engineer,"This role at and Sons involves Security Engineer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, 3D Engineering, API Design skills and expertise. The role requires 6 years of experience.",44,"Android, 3D Engineering, API Design, Ada","Fundraising, Brand Strategy, Ada","AWS Lambda, Typeform, AWS Elastic Load Balancing",2023-09-12,GMT+11,09:30 - 17:30,28,"New South Wales, Australia; Queensland, Australia; Western Australia, Australia; Northern Territory, Australia; Queensland, Australia",Healthcare,6,Afrikaans,6
Inc,29145,Algorithms Engineer,"This role at PLC involves Algorithms Engineer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with 3D Engineering, Backlog Prioritization, Brand Strategy skills and expertise. The role requires 1 years of experience.",72,"3D Engineering, Backlog Prioritization, Brand Strategy, API Design","Android, Fundraising, API Design","A-Frame, Jupyter, DALL·E 2",2023-09-10,GMT+11,09:00 - 17:00,23,"Western Australia, Australia; Northern Territory, Australia; South Australia, Australia; Victoria, Australia; Tasmania, Australia",Education,1,Afrikaans,5
Inc,29145,Brand Designer,"This role at LLC involves Brand Designer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Backlog Prioritization, Fundraising, API Design skills and expertise. The role requires 10 years of experience.",44,"Backlog Prioritization, Fundraising, API Design, Ada","Android, Backlog Prioritization, Fundraising","SEO, Typeform, Grafana",2023-09-05,GMT+11,09:00 - 18:00,25,"Northern Territory, Australia; South Australia, Australia; Western Australia, Australia; Queensland, Australia; Australian Capital Territory, Australia",Finance,10,Afrikaans,4
Inc,29145,Product Designer,"This role at Inc involves Product Designer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, Fundraising, API Design skills and expertise. The role requires 3 years of experience.",73,"Android, Fundraising, API Design, Brand Strategy","Fundraising, API Design, Ada","Data Analysis, Ruby, WebGL",2023-09-07,GMT+10,10:30 - 17:00,28,"Victoria, Australia; Northern Territory, Australia; South Australia, Australia; Tasmania, Australia; Australian Capital Territory, Australia",Engineering,3,Afrikaans,4
Inc,29145,Game Designer,"This role at PLC involves Game Designer-related responsibilities in the ['IT', 'Finance', 'Healthcare', 'Education', 'Engineering', 'Marketing'] industry. We are looking for candidates with Android, 3D Engineering, Fundraising skills and expertise. The role requires 1 years of experience.",1,"Android, 3D Engineering, Fundraising, API Design","Fundraising, API Design, Brand Strategy","matplotlib, Webflow, Material-UI",2023-09-07,GMT+11,08:00 - 16:00,20,"Queensland, Australia; Northern Territory, Australia; Queensland, Australia; Queensland, Australia; Tasmania, Australia",IT,1,Afrikaans,6
